Humidity_in,Temperature_in,Humidity_out,Temperature_out,Humidity_box,Temperature_box,Wind_Speed,Temperature_towel,Temperature_bed,Humidity_towel_raw
56,22.4,60,23.9,55,24.3,5.77,20.5,95.17,454
56,22.4,60,23.9,55,24.3,6.16,20.24,91.71,455
56,22.4,60,23.9,55,24.3,5.71,20.5,95.17,454
56,22.4,60,23.9,55,24.3,5.6,20.76,95.17,454
56,22.4,59,23.9,55,24.3,5.72,20.5,95.17,455
56,22.4,59,23.9,55,24.2,6.12,20.76,91.71,455
56,22.4,59,23.9,55,24.3,5.71,20.5,91.71,455
56,22.4,59,24,55,24.3,6.12,19.99,88.6,455
56,22.4,59,23.9,55,24.3,5.99,20.24,88.6,455
56,22.4,59,23.9,55,24.3,5.72,20.24,88.6,456
56,22.4,59,23.9,55,24.3,5.93,20.24,85.78,456
56,22.4,59,24,54,24.2,5.93,20.24,88.6,456
56,22.4,59,24,54,24.3,5.42,20.24,88.6,456
56,22.4,58,24,54,24.3,5.6,20.24,85.78,456
56,22.4,58,24,54,24.2,5.72,19.99,85.78,456
56,22.4,58,24,54,24.3,5.8,19.73,83.19,456
56,22.4,58,23.9,54,24.3,5.93,20.24,88.6,456
56,22.4,58,23.9,54,24.3,5.54,19.99,80.81,457
56,22.4,58,24,54,24.3,5.74,19.99,80.81,457
56,22.3,58,23.9,54,24.3,5.67,20.24,85.78,457
56,22.3,58,23.9,54,24.3,5.67,19.73,76.55,457
56,22.3,58,23.9,54,24.3,5.68,20.76,58.11,458
56,22.3,58,23.9,54,24.2,5.31,20.5,59.17,459
56,22.3,58,23.9,54,24.3,5.24,20.5,59.17,458
56,22.3,58,23.9,54,24.3,5.43,20.5,59.17,459
56,22.3,58,23.9,54,24.3,5,20.5,58.11,458
56,22.3,58,23.9,54,24.2,5.61,20.5,58.11,459
56,22.3,58,23.9,54,24.2,5.74,20.5,57.09,459
56,22.3,58,23.8,54,24.3,5.61,20.5,59.17,459
56,22.3,58,23.9,54,24.2,5.36,20.5,59.17,460
56,22.3,58,23.9,54,24.2,5.49,20.5,59.17,460
56,22.2,58,23.8,54,24.2,5.61,20.5,59.17,460
56,22.2,58,23.8,54,24.2,5.93,20.5,60.28,460
56,22.2,58,23.9,54,24.2,5.61,20.5,59.17,460
56,22.2,58,23.9,54,24.2,5.61,20.24,61.43,460
56,22.2,58,23.9,54,24.2,5.07,20.24,60.28,461
56,22.2,58,23.8,54,24.2,5.61,20.5,62.63,461
56,22.2,58,23.9,54,24.2,5.61,20.24,63.88,461
56,22.2,58,23.8,54,24.2,5.19,20.5,62.63,462
56,22.2,58,23.9,54,24.2,5.87,20.5,62.63,461
56,22.2,58,23.8,54,24.2,5.87,20.5,63.88,462
56,22.2,58,23.8,54,24.2,5.74,20.24,62.63,463
56,22.2,59,23.9,54,24.2,5.68,20.5,65.19,463
56,22.2,59,23.9,54,24.2,6,20.5,65.19,463
56,22.2,59,23.9,54,24.2,5.31,20.5,65.19,463
56,22.2,59,23.9,54,24.2,5.49,20.5,68,464
56,22.2,59,23.9,55,24.2,5.31,20.5,69.52,464
56,22.2,59,23.9,55,24.2,5.56,20.5,68,464
56,22.2,59,23.9,55,24.2,5.56,20.5,68,465
56,22.2,59,23.9,55,24.2,5.87,20.5,69.52,466
56,22.2,59,23.8,55,24.2,5.87,20.5,68,465
56,22.2,59,23.9,55,24.2,5.49,20.76,71.13,466
56,22.2,59,23.9,55,24.2,5.74,20.5,71.13,467
56,22.2,59,23.9,55,24.2,5.31,20.76,72.83,467
56,22.2,59,23.8,55,24.2,5.68,20.5,76.55,467
56,22.2,59,23.8,55,24.2,5.61,20.76,74.63,467
56,22.2,59,23.9,55,24.2,5.68,20.5,74.63,468
56,22.2,59,23.8,55,24.2,5.43,20.5,76.55,469
56,22.2,59,23.9,55,24.2,6,20.5,74.63,469
56,22.2,59,23.9,55,24.2,5.68,20.5,74.63,469
56,22.2,59,23.9,55,24.2,5.56,20.5,78.6,470
56,22.2,59,23.9,55,24.2,5.56,20.76,76.55,470
56,22.2,59,23.9,55,24.2,5.56,20.76,78.6,471
56,22.2,59,23.9,55,24.2,5.56,20.5,78.6,471
56,22.2,59,23.9,55,24.2,5.31,20.76,78.6,472
56,22.2,59,23.9,55,24.2,5.61,20.76,78.6,472
56,22.2,59,23.9,56,24.2,5.56,20.76,80.81,472
56,22.2,59,24,55,24.2,5.56,20.76,80.81,473
56,22.2,59,23.9,56,24.2,5.68,20.5,80.81,474
56,22.2,59,24,56,24.2,5.56,20.76,83.19,474
56,22.2,59,23.9,55,24.2,5.31,20.76,85.78,474
56,22.2,59,23.9,56,24.2,6,20.5,85.78,475
56,22.2,59,23.9,55,24.2,6.19,20.76,83.19,475
56,22.2,58,24,55,24.2,5.93,20.76,83.19,475
56,22.2,58,23.9,55,24.2,6,21.03,83.19,475
56,22.2,57,23.9,54,24.2,6.14,20.76,85.78,475
56,22.2,57,23.9,54,24.2,6.27,21.03,88.6,475
56,22.2,57,23.9,53,24.2,6.14,20.76,88.6,475
56,22.2,57,23.9,53,24.2,6.14,20.76,88.6,475
56,22.2,56,23.8,53,24.2,5.87,21.03,88.6,476
56,22.2,57,23.8,53,24.2,6.47,21.03,85.78,476
56,22.2,56,23.9,53,24.2,5.74,21.03,88.6,476
56,22.2,56,23.8,53,24.2,5.68,21.29,88.6,476
56,22.2,57,23.8,53,24.2,5.81,21.29,91.71,476
56,22.2,57,23.8,53,24.2,6.31,19.48,143.87,476
56,22.2,57,23.8,53,24.2,6.24,19.48,131.29,476
56,22.2,57,23.8,53,24.2,6.18,19.73,143.87,476
56,22.2,57,23.8,53,24.2,6.65,19.48,143.87,476
56,22.2,57,23.8,53,24.2,6.45,19.99,162.79,477
56,22.2,57,23.8,53,24.2,6.04,19.99,143.87,477
56,22.2,57,23.8,53,24.2,6.31,19.73,143.87,477
56,22.2,57,23.8,53,24.2,6.65,19.73,143.87,478
56,22.2,57,23.7,53,24.2,6.31,19.99,162.79,477
56,22.2,57,23.8,53,24.2,6.18,19.73,131.29,478
56,22.2,57,23.8,53,24.2,6.31,19.99,162.79,478
56,22.2,57,23.8,53,24.2,6.51,19.99,143.87,478
56,22.2,57,23.8,53,24.2,6.37,19.99,143.87,478
56,22.2,57,23.8,53,24.2,6.31,20.24,143.87,479
56,22.2,57,23.8,53,24.2,6.51,19.99,131.29,479
56,22.2,57,23.8,53,24.2,6.59,20.24,143.87,479
56,22.2,57,23.8,53,24.2,6.37,20.24,131.29,479
56,22.2,57,23.8,53,24.2,6.37,20.24,131.29,480
56,22.2,57,23.7,53,24.2,6.51,20.24,131.29,480
56,22.3,57,23.8,52,24.2,6.51,20.24,131.29,480
56,22.2,57,23.8,53,24.2,6.65,20.24,131.29,481
56,22.3,57,23.8,52,24.2,6.65,20.24,121.97,480
56,22.2,57,23.8,53,24.2,6.45,20.5,131.29,481
56,22.3,57,23.8,52,24.2,6.8,20.24,121.97,482
56,22.2,57,23.8,52,24.2,7.01,20.24,121.97,481
56,22.2,57,23.8,52,24.2,7.01,20.5,121.97,481
56,22.3,57,23.8,52,24.2,6.44,20.24,114.62,482
56,22.3,57,23.7,52,24.2,6.64,20.5,121.97,483
56,22.3,57,23.8,52,24.2,6.16,20.5,121.97,483
56,22.3,57,23.8,52,24.2,6.5,20.24,121.97,483
56,22.4,57,23.8,52,24.2,6.3,20.5,108.58,483
56,22.4,56,23.8,52,24.2,6.44,20.5,121.97,483
